user_id,country,gender,years_of_experience,no_of_apply,no_of_pass,no_of_hire,avg_apply_pass,avg_pass_hire,no_of_event_reg,signup_year,current_inactive_days,education_level,job_role,skills
9,South Korea,female,0,1,0,0,0,0,1,2015,1165,Graduated College,Service Planner,Strategic Planning
10,South Korea,male,0,3,3,0,0,0,0,2015,59,Graduated College,Social Marketer,CRM|Growth Hacking
12,South Korea,female,0,5,3,0,0.9,0,0,2015,785,Graduated College,UX Designer,Figma
13,South Korea,female,0,4,0,0,0,0,0,2015,975,Graduated College,Android Developer,TypeScript|Git|AWS|Docker|MySQL|Redis|MongoDB|iOS|React|GitHub|C++|Node.js|Kotlin|Swift|React Native|React.js|Java|Spring Framework|PHP|Android
17,South Korea,female,0,0,0,0,0,0,0,2015,885,Graduated College,Strategic Planner,Financial Accounting|Accounting|Business Management|Financial Reporting
18,South Korea,female,0,11,0,0,0,0,0,2015,3,Graduated College,Strategic Planner,AWS|Linux|Azure|GCP|Windows Server
19,South Korea,female,0,4,3,0,0.2,0,0,2015,844,Graduated College,"Salary, Compensation",HRM|HRD
19,South Korea,female,0,4,3,0,0.2,0,0,2015,844,Graduated College,"Salary, Compensation",HRM|HRD
20,Thailand,male,0,5,3,0,1.5,0,0,2015,981,No College,Web Developer,Java|Kotlin|REST|TDD|Android|AAC
29,South Korea,female,0,14,0,0,0,0,0,2015,3,Graduated College,PR Specialist,Mobile Marketing|Marketing Operations
30,United Kingdom,female,0,11,6,0,3.6,0,0,2015,816,Graduated College,Social Marketer,Consulting
31,South Korea,male,0,25,3,0,0.8,0,0,2015,892,Graduated College,Strategic Planner,Data Analysis|Content Management|Content Development|Document Management
33,South Korea,female,0,7,0,0,0,0,0,2015,978,Graduated College,Strategic Planner,Figma|SQL|Excel|Notion
41,Canada,male,0,4,0,0,0,0,0,2015,994,Graduated College,UX Designer,Adobe Photoshop|UI Design|Branding|Adobe Illustrator|Graphic Design|Figma|Zeplin|Adobe XD|Web Design
44,South Korea,male,0,0,0,0,0,0,0,2015,1048,Graduated College,Machine Learning Engineer,C++|CUDA|Spring Framework|AWS|C#|Python
44,South Korea,male,0,0,0,0,0,0,0,2015,1048,Graduated College,Machine Learning Engineer,C++|CUDA|Spring Framework|AWS|C#|Python
45,South Korea,female,0,3,0,0,0,0,0,2015,878,Graduated College,Lecturer,Compensation Structures|Compensations|Compensation Strategies|Compensation Planning
45,South Korea,male,0,3,0,0,0,0,0,2015,878,Graduated College,Lecturer,Compensation Structures|Compensations|Compensation Strategies|Compensation Planning
48,South Korea,female,0,4,0,0,0,0,0,2015,1024,Graduated College,Marketer,Branding|Brand Marketing|Content Creation|Advertising Management
49,South Korea,male,0,2,0,0,0,0,0,2015,891,Graduated College,iOS Developer,Go
51,South Korea,female,0,43,4,0,0.1,0,0,2015,884,Graduated College,Web Developer,AWS|DevOps
52,South Korea,male,0,11,0,0,0,0,0,2015,757,Graduated College,Web Developer,C|C++|Win32|WinDbg|Windows Server|MIS|Java|JavaScript|Kotlin|Spring Framework|Docker|AWS|GCP|Scala|Git|Python|Shell Scripting|RDBMS|NoSQL|HTML5|CSS|React|VueJS|AngularJS|MFC|Win32 API|DLP|Legacy Planning|DevOps|Apache|Tomcat|MySQL|Xen|VMware|Linux|iOS|Android|GitHub|React.js|C / C++|DB2
54,Canada,female,0,5,4,1,16,3.3,0,2015,892,Graduated College,iOS Developer,AWS|GCP|Google Cloud Platform|PostgreSQL|MySQL|Python|Tableau|Redis
56,South Korea,female,0,20,0,0,0,0,0,2015,1152,Graduated College,Web Developer,AWS|Azure
57,South Korea,female,0,9,3,0,1,0,0,2015,1151,No College,Social Marketer,MS Office|Marketing Strategy|Team Oriented
59,South Korea,male,0,3,0,0,0,0,0,2015,970,Graduated College,Web Developer,AWS|Azure
